lead_id,industry,lead_source,company_size,annual_revenue,region,lead_status,created_date
1,Retail,Referral,Medium,3325440,East,New,2026-04-13
2,Technology,Referral,Medium,4153503,West,Lost,2025-07-27
3,Retail,Campaign,Small,1712290,South,Lost,2025-09-18
4,Retail,Website,Medium,4304271,North,Lost,2026-06-08
5,Healthcare,Referral,Small,776529,South,Lost,2026-04-02
6,Manufacturing,Cold Call,Small,5771701,South,Qualified,2026-02-18
7,Retail,Website,Small,5481797,South,Lost,2025-08-28
8,Manufacturing,Cold Call,Medium,3901110,West,Qualified,2025-06-25
9,Manufacturing,Website,Large,2608746,North,Qualified,2025-11-16
10,Retail,Partner,Small,5930902,West,Lost,2026-04-05
11,Retail,Referral,Small,8868420,West,Contacted,2026-03-23
12,Manufacturing,Website,Medium,9255006,North,Contacted,2026-03-02
13,Manufacturing,Cold Call,Medium,7976294,South,Contacted,2026-03-30
14,Manufacturing,Partner,Small,3952932,West,Contacted,2026-03-08
15,Finance,Cold Call,Large,3012336,North,Contacted,2025-11-03
16,Manufacturing,Referral,Small,3634315,West,Lost,2025-09-13
17,Finance,Cold Call,Medium,4046382,West,Contacted,2025-10-16
18,Healthcare,Cold Call,Medium,8725551,South,Converted,2026-06-05
19,Technology,Cold Call,Small,6641719,South,Converted,2026-01-12
20,Finance,Cold Call,Large,4819881,South,Converted,2026-02-19
21,Finance,Cold Call,Medium,2485418,East,New,2025-11-23
22,Retail,Website,Medium,4000567,South,Qualified,2026-02-21
23,Retail,Referral,Large,9662506,West,Contacted,2025-07-07
24,Healthcare,Partner,Small,9963617,South,Contacted,2026-05-12
25,Finance,Campaign,Large,1700083,West,Contacted,2025-10-25
26,Technology,Campaign,Small,9466976,South,Lost,2026-02-21
27,Technology,Website,Medium,990290,South,Contacted,2025-11-25
28,Technology,Website,Large,3825036,West,Contacted,2026-04-04
29,Technology,Campaign,Medium,4505053,South,New,2026-01-19
30,Retail,Website,Small,1457380,East,New,2026-04-22
31,Manufacturing,Cold Call,Large,4420943,East,Lost,2025-08-24
32,Manufacturing,Cold Call,Medium,6572288,East,Converted,2025-09-06
33,Healthcare,Cold Call,Small,3385359,East,Qualified,2026-04-26
34,Retail,Referral,Large,3224691,East,Lost,2025-11-14
35,Retail,Referral,Small,5790151,West,Contacted,2025-11-13
36,Finance,Referral,Large,3352655,East,New,2026-05-18
37,Healthcare,Partner,Small,3863078,East,New,2025-08-07
38,Retail,Cold Call,Medium,9836344,South,Qualified,2025-09-21
39,Retail,Campaign,Small,8347693,East,Contacted,2025-10-27
40,Finance,Cold Call,Medium,4635882,East,Converted,2026-01-06
41,Healthcare,Cold Call,Large,5658510,South,Qualified,2025-11-19
42,Manufacturing,Partner,Medium,7236743,West,Lost,2025-07-09
43,Technology,Campaign,Large,8742732,North,New,2026-02-20
44,Manufacturing,Partner,Large,3179303,West,Lost,2025-11-12
45,Finance,Campaign,Medium,7319127,South,Qualified,2025-11-01
46,Manufacturing,Website,Small,2930801,North,New,2026-01-16
47,Technology,Campaign,Large,1927334,East,Contacted,2026-01-25
48,Manufacturing,Partner,Medium,3688998,South,Lost,2025-10-28
49,Finance,Website,Medium,4588218,East,Lost,2025-12-14
50,Healthcare,Partner,Large,6088650,North,New,2025-10-23
51,Technology,Cold Call,Large,5498130,East,Qualified,2025-12-18
52,Manufacturing,Cold Call,Small,9358281,South,New,2026-04-27
53,Technology,Partner,Large,1320234,South,Lost,2025-10-01
54,Healthcare,Partner,Medium,8281177,East,Qualified,2026-01-01
55,Healthcare,Website,Large,5339360,South,Converted,2026-05-27
56,Healthcare,Cold Call,Medium,7619207,East,Qualified,2026-05-03
57,Retail,Cold Call,Medium,3606091,West,Contacted,2025-06-16
58,Finance,Cold Call,Large,9785705,East,New,2026-06-04
59,Finance,Website,Medium,4544725,South,Contacted,2025-07-23
60,Technology,Campaign,Medium,1081639,South,Converted,2026-06-10
61,Manufacturing,Cold Call,Large,1419882,West,Converted,2025-09-12
62,Technology,Campaign,Small,9732832,West,Qualified,2025-07-30
63,Technology,Website,Medium,1965144,South,New,2025-07-07
64,Manufacturing,Campaign,Small,1017793,South,Converted,2025-08-23
65,Finance,Referral,Large,5239164,East,Lost,2026-02-22
66,Retail,Campaign,Large,8531892,North,New,2025-10-21
67,Manufacturing,Partner,Medium,6956187,North,New,2026-05-18
68,Manufacturing,Cold Call,Large,3649449,South,Lost,2026-03-27
69,Technology,Referral,Small,8668061,West,Contacted,2026-01-27
70,Healthcare,Partner,Medium,5212385,North,Converted,2025-08-24
71,Manufacturing,Campaign,Medium,7779838,West,Qualified,2025-09-27
72,Manufacturing,Referral,Medium,6167271,West,Converted,2026-01-08
73,Finance,Partner,Large,156635,South,New,2026-01-22
74,Finance,Campaign,Large,4118220,North,Contacted,2025-08-17
75,Manufacturing,Website,Medium,1216004,East,New,2025-09-07
76,Healthcare,Campaign,Small,3638874,South,Contacted,2025-11-01
77,Healthcare,Referral,Small,4881873,North,Contacted,2025-08-01
78,Healthcare,Campaign,Small,2515684,East,Lost,2025-12-19
79,Technology,Referral,Small,756812,North,Lost,2026-05-24
80,Healthcare,Partner,Large,3613556,North,Converted,2026-02-06
81,Healthcare,Referral,Medium,6380855,South,Qualified,2026-06-10
82,Finance,Partner,Large,5226168,North,Contacted,2026-01-21
83,Manufacturing,Campaign,Small,8152460,West,Converted,2026-02-25
84,Retail,Referral,Medium,2432164,North,Qualified,2026-02-24
85,Technology,Campaign,Medium,5736161,West,Contacted,2026-01-05
86,Manufacturing,Referral,Medium,7857115,North,New,2026-03-09
87,Retail,Website,Medium,8122317,South,Contacted,2025-09-27
88,Healthcare,Partner,Medium,8589684,South,Contacted,2025-11-18
89,Finance,Partner,Large,7170612,North,New,2025-10-23
90,Technology,Partner,Large,2378043,South,Lost,2026-06-07
91,Healthcare,Campaign,Small,9057448,South,New,2025-12-24
92,Finance,Campaign,Large,682246,South,Contacted,2026-01-05
93,Technology,Campaign,Large,182544,East,New,2026-05-23
94,Technology,Campaign,Large,9081024,North,New,2026-04-30
95,Finance,Referral,Large,919806,South,Contacted,2025-12-07
96,Healthcare,Cold Call,Large,957847,South,New,2025-07-20
97,Technology,Cold Call,Small,7905375,West,Converted,2025-11-02
98,Technology,Campaign,Medium,5128912,South,Lost,2025-11-12
99,Manufacturing,Campaign,Small,4145680,North,Contacted,2026-04-24
100,Technology,Partner,Large,1476465,East,Qualified,2025-07-11
101,Finance,Campaign,Large,554285,North,New,2026-02-26
102,Finance,Cold Call,Small,440376,North,Qualified,2025-12-26
