activity_id,lead_id,rep_id,activity_type,activity_outcome,activity_date
1,1362,43,Demo,Positive,2026-06-13
2,4442,37,Demo,Negative,2026-03-22
3,5118,17,Demo,Negative,2025-07-27
4,6648,21,Call,Negative,2025-11-12
5,3397,26,Email,Neutral,2025-11-07
6,6353,29,Call,Neutral,2026-03-15
7,5382,22,Meeting,Positive,2025-06-17
8,8479,37,Demo,Positive,2025-11-25
9,8295,50,Demo,Positive,2025-07-23
10,9384,27,Meeting,Neutral,2026-06-04
11,355,28,Email,Neutral,2025-06-18
12,2956,21,Call,Neutral,2025-12-27
13,5485,25,Demo,Neutral,2026-04-14
14,7047,37,Email,Neutral,2026-02-25
15,5685,45,Call,Positive,2026-03-23
16,6494,24,Demo,Neutral,2025-11-16
17,2023,42,Call,Neutral,2025-07-01
18,4515,8,Meeting,Positive,2025-07-19
19,6452,20,Call,Neutral,2025-10-06
20,8110,9,Email,Neutral,2026-01-22
21,1908,38,Meeting,Positive,2026-05-22
22,6412,28,Demo,Neutral,2026-02-22
23,625,22,Demo,Neutral,2026-02-10
24,6988,38,Email,Negative,2026-06-11
25,1499,29,Email,Positive,2025-08-16
26,3123,37,Demo,Positive,2025-08-08
27,5750,14,Email,Positive,2025-12-02
28,9151,26,Call,Negative,2026-04-25
29,8321,44,Call,Neutral,2026-03-14
30,2813,10,Demo,Positive,2025-09-08
31,2660,20,Call,Neutral,2025-08-15
32,1605,8,Meeting,Negative,2025-11-24
33,3821,35,Meeting,Neutral,2026-03-20
34,6222,13,Email,Neutral,2025-09-30
35,8254,50,Demo,Positive,2026-03-11
36,3552,3,Demo,Positive,2025-12-03
37,921,32,Email,Positive,2025-07-22
38,9936,50,Meeting,Neutral,2026-05-29
39,9539,7,Email,Neutral,2026-04-14
40,6565,31,Meeting,Neutral,2026-05-04
41,4319,32,Demo,Negative,2025-10-16
42,8472,19,Meeting,Positive,2025-07-09
43,2667,49,Demo,Neutral,2025-10-25
44,5307,29,Call,Positive,2025-10-02
45,1570,19,Meeting,Neutral,2026-01-14
46,6485,25,Email,Negative,2025-10-01
47,6443,2,Demo,Neutral,2025-09-15
48,7078,42,Email,Positive,2025-08-16
49,7775,49,Email,Positive,2026-03-19
50,8564,11,Meeting,Positive,2025-06-28
51,9381,1,Meeting,Negative,2025-11-19
52,6557,50,Demo,Positive,2026-05-19
53,1201,16,Meeting,Negative,2026-02-15
54,3616,19,Meeting,Negative,2025-07-22
55,9883,44,Meeting,Negative,2025-07-13
56,3824,11,Demo,Positive,2026-04-07
57,184,47,Call,Negative,2026-03-16
58,401,36,Demo,Positive,2025-09-23
59,4380,17,Call,Negative,2025-12-11
60,1956,5,Call,Neutral,2025-06-28
61,2659,30,Meeting,Positive,2026-02-19
62,5247,7,Meeting,Positive,2025-08-15
63,9235,12,Email,Positive,2026-06-14
64,4428,27,Demo,Negative,2026-01-08
65,5737,21,Email,Negative,2026-06-07
66,6276,7,Meeting,Neutral,2026-05-13
67,472,19,Demo,Positive,2026-01-16
68,5099,45,Email,Positive,2025-11-12
69,8888,7,Meeting,Neutral,2026-02-01
70,497,8,Email,Negative,2025-12-21
71,7458,9,Demo,Neutral,2026-02-10
72,2477,39,Demo,Neutral,2026-06-03
73,9357,47,Email,Positive,2026-01-24
74,4541,43,Demo,Neutral,2025-06-19
75,6192,26,Meeting,Positive,2026-03-12
76,6392,43,Email,Positive,2025-08-03
77,6587,28,Meeting,Negative,2025-08-31
78,2787,39,Demo,Positive,2026-02-21
79,5469,29,Meeting,Negative,2025-10-01
80,2610,38,Email,Negative,2026-02-14
81,8580,31,Call,Positive,2026-05-16
82,9028,11,Email,Neutral,2026-04-04
83,9711,28,Demo,Positive,2025-07-11
84,7820,36,Meeting,Positive,2026-03-04
85,4114,4,Demo,Negative,2025-06-23
86,293,21,Demo,Neutral,2026-05-18
87,2152,8,Meeting,Neutral,2025-09-15
88,4857,24,Meeting,Positive,2026-05-20
89,70,27,Call,Positive,2026-04-09
90,5931,15,Meeting,Positive,2025-11-22
91,3548,41,Meeting,Neutral,2025-06-23
92,2805,23,Meeting,Negative,2026-06-13
93,2768,49,Demo,Negative,2026-05-11
